Title, Link_URL, State
"Brewton Brewton StandardThe newspaper published Wednesday and Saturday by Brewton Newspapers, Inc. and serving eastern and central Escambia County.",https://www.brewtonstandard.com/,alabama
Carrollton Pickens County Herald,https://pcherald.com/,alabama
Centre Post (Cherokee County),https://www.epostpaper.com/,alabama
Citronelle Call News,https://www.thecallnews.com/,alabama
Clanton Clanton Advertiser,https://www.clantonadvertiser.com/,alabama
Columbiana Shelby County Reporter,https://www.shelbycountyreporter.com/,alabama
Cullman Cullman Tribune,https://www.cullmantribune.com/,alabama
"Demopolis Demopolis TimesTwice-weekly newspaper serving Demopolis, Linden and Marengo County",https://www.demopolistimes.com/,alabama
Elba Elba Clipper,https://www.elba-clipper.com/,alabama
Fayette Times Record,https://mytrpaper.com/,alabama
Flomaton Tri-City Ledger,https://www.tricityledger.com/,alabama
Florence Courier Journal,https://www.courierjournal.net/,alabama
Fort Deposit Lowndes Signal,https://www.lowndessignal.com/,alabama
Gadsden Gadsden Messenger,https://gadsdenmessenger.com/,alabama
Gardendale North Jefferson News,https://www.cullmantimes.com/northjeffersonnews/,alabama
Gilbertown Choctaw Sun-Advocate,https://www.choctawsun.org/,alabama
Greenville Greenville Advocate,https://www.greenvilleadvocate.com/,alabama
Greenville Greenville Standard,https://www.thegreenvillestandard.com/,alabama
Grove Hill Clarke County Democrat,https://www.clarkecountydemocrat.com/,alabama
Guntersville Advertiser Gleam,https://www.advertisergleam.com/,alabama
Haleyville Journal Record,https://myjrpaper.com/,alabama
Jackson South Alabamian,https://www.southalabamian.com/,alabama
LaFayette Lafayette Sun,https://www.facebook.com/thelafayettesun/,alabama
Lanett Valley Times-News,https://www.valleytimes-news.com/,alabama
Livingston Sumpter County Record-Journal,http://www.recordjournal.net/,alabama
Moulton Moulton Advertiser,https://www.moultonadvertiser.com/,alabama
Monroeville Monroe Journal,https://www.monroejournal.com/,alabama
Moundville Moundville Times,http://moundvilletimes.net/,alabama
Opelika Opelika-Auburn News,https://oanow.com/,alabama
Opelika Opelika Observer,https://opelikaobserver.com/,alabama
Oneonta Blount Countian,https://www.blountcountian.com/,alabama
Pell City St. Clair News Aegis,https://www.newsaegis.com/,alabama
Phenix City The Citizen of East Alabama,https://www.citizenofeastalabama.com/,alabama
Rainsville Mountain Valley News,https://www.mountainvalleynewspaper.com/,alabama
Roanoke Randolph Leader,https://www.therandolphleader.com/,alabama
Scottsboro Jackson County Sentinel,https://jcsentinel.com/,alabama
Russellville Franklin County Times,https://franklincountytimes.com/,alabama
Selma Selma Times Journal,https://www.selmatimesjournal.com/,alabama
Troy Troy Messenger,https://www.troymessenger.com/,alabama
Thomasville Thomasville Times,https://www.thethomasvilletimes.com/,alabama
Tuskegee Trussville News,http://www.thetrussvillenews.com/,alabama
Tuscaloosa Planet Weekly,https://theplanetweekly.com/,alabama
Union Springs Union Springs Herald,https://unionsprings.news/,alabama
Vernon The Lamar Democrat,https://www.lamardemocratnews.com/,alabama
Vestavia Hills Over the Mountain Journal,https://www.otmj.com/,alabama
"Auburn PlainsmanWeekly Student-run newspaper of Auburn University in Auburn, Alabama.",https://www.theplainsman.com/,alabama
Crimson White,https://thecrimsonwhite.com/,alabama
"LagniappeAlternative newspaper published in Mobile, Alabama, owned by Something Extra Publishing, Inc.",https://www.lagniappemobile.com/,alabama
"Anchorage Daily NewsOne of the most widely circulated newspapers in Alaska. Anchorage Daily News covering latest news on sports, business, entertainment, movies, jobs, cars, and classified.",https://www.adn.com,alaska
Fairbanks Daily News-MinerOne of the most popular newspapers in Alaska headquarters in Fairbanks.,https://www.newsminer.com/,alaska
"Juneau EmpireBroadsheet newspaper based in Juneau, Alaska published Sunday through Friday.",https://www.juneauempire.com,alaska
"Ketchikan Daily News Printed in Ketchikan, Alaska. Ketchikan Daily News owned by the Pioneer Printing Co., Inc.",https://www.ketchikandailynews.com/,alaska
"Kodiak Daily MirrorDaily afternoon newspaper based in Kodiak Island, Alaska.",https://www.kodiakdailymirror.com/,alaska
"Daily Sitka SentinelIndependent weekday newspaper published in Sitka, Alaska owned by the Thad and Sandy Poulson, Verstovia Corp.",https://sitkasentinel.com/,alaska
Anchorage Alaska Journal of Commerce,https://www.alaskajournal.com,alaska
Anchorage Arctic SounderServing Northwest Arctic Borough and North Slope Borough.,https://www.thearcticsounder.com/,alaska
"Anchorage Bristol Bay TimesServing Bristol Bay and Dillingham, King Salmon, Naknek communities.",https://www.adn.com/bristol-bay-times/,alaska
Anchorage Dutch Harbor FishermanServing communities in the Aleutian Islands and the Pribilof Islands.,https://www.thedutchharborfisherman.com/,alaska
"Anchorage Petroleum News AlaskaAnchorage based weekly newspaper providing petroleum related news of Alaska, Canada and the continental U.S.",https://www.PetroleumNews.com,alaska
Anchorage Senior Voice,https://www.seniorvoicealaska.com/,alaska
Bethel Delta Discovery,https://deltadiscovery.com/,alaska
"Cordova Cordova TimesServing Cordova and Prince William Sound, a sound off the Gulf of Alaska on the south coast of Alaska.",https://www.thecordovatimes.com/,alaska
Delta Junction Delta News Web,https://www.deltanewsweb.com/,alaska
Delta Junction Delta Wind,https://www.deltawindonline.com/,alaska
Eagle River Alaska StarWeekly newspaper published in Anchorage owned by the Morris Communications.,https://www.alaskastar.com,alaska
"Haines Chilkat Valley NewsWeekly independent newspaper published in Haines, AK.",https://www.chilkatvalleynews.com/,alaska
"Homer Homer NewsHomer based weekly newspaper distributed in Homer, Halibut Cove, Seldovia, Nanwalek, Port Graham, and Kachemak City as well as Voznesenka, Kachemak Selo, and Razdolna.",https://www.homernews.com/,alaska
"Kenai Peninsula ClarionRegional newspaper published in Kenai, Alaska. Peninsula Clarion serving Soldotna and Kenai, Seward, Cook Inlet, Homer cities and the villages of Seldovia, Nanwalek, and Port Graham.",https://www.peninsulaclarion.com,alaska
Ketchikan SitNews,http://www.sitnews.us/,alaska
"Nome Nome NuggetWeekly newspaper based in Nome, Alaska. Founded in 1900 The Nome Nugget is one of the oldest newspapers in Alaska.",http://nomenugget.net,alaska
Petersburg Petersburg Pilot,https://www.petersburgpilot.com/,alaska
Skagway Skagway News,https://skagwaynews.com/,alaska
"Wasilla FrontiersmanRegional newspaper distributed in Matanuska-Susitna Valley. Wasilla Frontiersman published every Tuesday, Friday and Sunday by Wick Communications.",https://www.frontiersman.com/,alaska
Wrangell Wrangell Sentinel,https://www.wrangellsentinel.com/,alaska
Northern Light (University of Alaska-Anchorage),https://www.thenorthernlight.org/,alaska
Sun StarStudent newspaper of the University of Alaska Fairbanks.,https://www.uafsunstar.com/,alaska
"Anchorage PressOne of a few alternative newspapers published in Anchorage, Alaska.",https://www.anchoragepress.com/,alaska
Bullhead City Mohave Daily News,https://www.mohavedailynews.com/,arizona
Douglas Douglas Dispatch,https://www.myheraldreview.com/news/douglas/,arizona
Flagstaff Arizona Daily Sun,https://azdailysun.com/,arizona
Kingman Daily Miner,https://www.kdminer.com/,arizona
Lake Havasu City Today's News Herald,https://www.havasunews.com/,arizona
"Prescott Prescott CourierYavapai County's daily newspaper owned by Prescott Newspapers, Inc. (PNI).",https://www.dcourier.com/,arizona
"Tempe East Valley TribuneLocal newspaper based in Mesa, AZ serving Mesa, Chandler, Tempe, Gilbert and Queen Creek.",https://www.eastvalleytribune.com/,arizona
Sierra Vista Herald Review,https://www.myheraldreview.com/,arizona
"Ajo Ajo Copper NewsWeekly community newspaper published in Ajo, Arizona. The newspaper was founded in 1916 and serving Pima County, Arizona.",https://www.cunews.info/,arizona
Apache Junction Apache Junction/Gold Canyon Independent,https://www.yourvalley.net/apache-junction-independent/,arizona
Avondale West Valley View,https://www.westvalleyview.com/,arizona
Benson San Pedro Valley News-Sun,https://www.myheraldreview.com/news/benson/,arizona
"Bisbee Bisbee ObserverCommunity newspaper serving Bisbee, Douglas, Naco, McNeal, Double Adobe, and Palominas / Hereford, Sierra Vista, in Southern Arizona.",https://thebisbeeobserver.com/,arizona
Blythe Palo Verde Valley Times,https://www.pvvt.com/,arizona
Camp Verde Camp Verde Journal,https://journalaz.com/,arizona
Casa Grande Casa Grande Dispatch,https://www.pinalcentral.com/casa_grande_dispatch/,arizona
Casa Grande Robson Ranch Views,https://robsonranchviews.com/,arizona
Cave Creek Sonoran News,https://sonorannews.com/,arizona
Chandler SanTan Sun News,https://www.chandlernews.com/santan/,arizona
Chandler Sun Bird News,https://sunbirdnews.com/,arizona
Cottonwood Verde Independent,https://www.verdenews.com/,arizona
Flagstaff Flagstaff Business News,https://www.flagstaffbusinessnews.com/,arizona
"Flagstaff Navajo Hopi ObserverWeekly newspaper published in Flagstaff, AZ.",https://www.nhonews.com/,arizona
Fountain Hills Fountain Hills Times,https://www.fhtimes.com/,arizona
Glendale Glendale Star,https://www.glendalestar.com/,arizona
Globe Arizona Silver Belt,https://silverbelt.com/,arizona
Green Valley Green Valley News & Sun,https://www.gvnews.com/,arizona
Green Valley (Quail Creek) Quail Creek Crossing,https://quailcreekcrossing.com/,arizona
Globe Copper Country News,https://www.coppercountrynews.com/,arizona
Kearny Copper Area News,https://www.copperarea.com/,arizona
Kingman Daily Miner,https://www.kdminer.com/,arizona
Maricopa In Maricopa News,https://www.inmaricopa.com/,arizona
Maricopa Maricopa Monitor,https://www.pinalcentral.com/maricopa_monitor/,arizona
New River Foothills Focus,https://www.thefoothillsfocus.com/,arizona
"Nogales Nogales InternationalServing Nogales, Rio Rico, Tumacacori, Tubac, Amado, Patagonia, Sonoita and Elgin of Santa Cruz County.",https://www.nogalesinternational.com/,arizona
Safford Eastern Arizona Courier,https://www.eacourier.com/,arizona
Sedona Kudos,https://www.verdenews.com/kudos/,arizona
"Sedona Sedona Red Rock NewsTwice weekly (Wednesday and Friday) local newspaper printed in Sedona, Arizona.",https://www.redrocknews.com/,arizona
Tucson Tucson Local Media,https://www.tucsonlocalmedia.com/,arizona
Page Lake Powell Chronicle,https://lakepowellchronicle.com/,arizona
Paradise Valley Town of Paradise Valley,https://www.yourvalley.net/paradise-valley-independent/,arizona
Parker Parker Pioneer,https://www.parkerpioneer.net/,arizona
Payson Payson Roundup,https://www.paysonroundup.com/,arizona
Peoria Peoria Times,https://www.peoriatimes.com/,arizona
Quartzsite Palo Verde Valley Times,https://www.pvvt.com/,arizona
Wickenburg Wickenburg Sun,https://www.wickenburgsun.com/,arizona
Willcox Arizona Range News,https://www.myheraldreview.com/news/willcox/,arizona
Yuma Bajo El Sol (in Spanish),https://www.yumasun.com/bajo_el_sol/,arizona
Yuma Yuma Sun,https://www.yumasun.com/,arizona
Arizona Daily Wildcat (University of Arizona),https://wildcat.arizona.edu/,arizona
State Press (Arizona State University),https://www.statepress.com/,arizona
Jackcentral (Northern Arizona University),https://www.jackcentral.org/,arizona
Arizona Newspapers Association,https://azmedia.org/,arizona
Batesville Batesville Guard,https://www.guardonline.com/,arkansas
Benton Saline Courier,https://www.bentoncourier.com/,arkansas
Camden Camden News,https://www.camdenarknews.com/,arkansas
Conway Log Cabin DemocratConway based newspaper serving Faulkner County and surrounding areas.,https://www.thecabin.net/,arkansas
El Dorado El Dorado News-Times,https://www.eldoradonews.com/,arkansas
Fayetteville Northwest Arkansas Democrat-Gazette,https://www.nwaonline.com/,arkansas
Forrest City Times-Herald,https://www.thnews.com/,arkansas
Fort Smith Times RecordFort Smith based daily newspaper owned by Stephens Media LLC.,https://www.swtimes.com/,arkansas
Harrison Daily Times,https://harrisondaily.com/,arkansas
Hot Springs Sentinel-Record,https://www.hotsr.com/,arkansas
Jonesboro Jonesboro Sun,https://www.jonesborosun.com/,arkansas
"Little Rock Arkansas Democrat-GazetteMost widely circulated newspaper in Arkansas. The newspaper aslo known as Demgaz, Dem-Gaz, or DemoZet. Founded in 1819, the Arkansas Democrat-Gazette is one of the oldest newspapers in Arkansas.",https://www.arkansasonline.com/,arkansas
Little Rock Daily Record,https://www.dailyrecord.us/,arkansas
Magnolia Banner-News,https://www.magnoliabannernews.com/,arkansas
Malvern Daily Record,https://www.malvern-online.com/,arkansas
"Mountain Home Baxter BulletinDaily newspaper published in Mountain Home, Arkansas.",https://www.baxterbulletin.com/,arkansas
Paragould Paragould Daily Press,https://www.paragoulddailypress.com/,arkansas
Pine Bluff Pine Bluff Commercial,https://www.arkansasonline.com/news/pb/news/,arkansas
"Searcy CitizenSearcy, AR based daily newspaper was established in 1854.",https://www.thedailycitizen.com/,arkansas
Stuttgart Stuttgart Daily Leader,https://www.stuttgartdailyleader.com/,arkansas
Texarkana Texarkana Gazette,https://www.texarkanagazette.com/,arkansas
West Memphis Evening Times,https://www.theeveningtimes.com/,arkansas
Beebe Beebe News,https://beebenews.com/,arkansas
Bella Vista Weekly Vista,https://bvwv.nwaonline.com/,arkansas
BeMcCrory Woodruff County Monitor-Leader-Advocateebe,https://www.wcmla.net/,arkansas
Berryville Carroll County News,https://www.carrollconews.com/,arkansas
Booneville Booneville Democrat,https://www.swtimes.com/boonevilledemocrat/,arkansas
Calico Rock White River Current,https://www.whiterivercurrent.com/,arkansas
Charleston Charleston Express,https://www.swtimes.com/charlestonexpress/,arkansas
Clarksville Johnson County Graphic,https://www.thegraphic.org/,arkansas
Clinton Van Buren County Democrat,https://www.thecabin.net/vanburen/,arkansas
Crossett Ashley County News Observer,https://www.ashleynewsobserver.com/,arkansas
Danville Yell County Record,https://www.theyellcountyrecord.com,arkansas
De Queen De Queen Bee,https://www.dequeenbee.com/,arkansas
DeWitt DeWitt Era-Enterprise,https://www.dewitt-ee.com/,arkansas
Fairfield Bay Fairfield Bay News,https://fairfieldbaynews.com/,arkansas
Flippin Mountaineer Echo,https://www.flippinonline.com,arkansas
Gravette Westside Eagle Observer,https://www.eagleobserver.com/,arkansas
Hamburg Ashley County Ledger,https://www.ashleycountyledger.com/,arkansas
Hazen Grand Prairie Herald,https://herald-publishing.com/,arkansas
Heber Springs Sun-Times,https://www.thesuntimes.com/,arkansas
Helena-West Helena Helena World,https://www.helenaworld.org/,arkansas
Hope Amigo newspaper,http://www.amigonews.com/,arkansas
Hot Springs Village Village Voice,https://www.hsvvoice.com/,arkansas
Huntsville Madison County Record,https://mcrecordonline.com/,arkansas
Jacksonville The Leader,https://www.arkansasleader.com/,arkansas
Jasper Newton County Times,https://newtoncountytimes.com/,arkansas
Little Rock Arkansas Business,https://www.arkansasbusiness.com/,arkansas
Little Rock Arkansas TimesWeekly alternative newspaper published in Arkansas's capital Little Rock.,https://arktimes.com/,arkansas
Magnolia Magnolia Reporter,https://www.magnoliareporter.com/,arkansas
Manila Town Crier,https://www.neatowncourier.com/,arkansas
Mena Mena Star,https://www.menastar.com/,arkansas
Morrilton Conway Co. Petit Jean Country Headlight,https://www.headlightnews.com/,arkansas
Mountain View Stone County Leader,https://stonecountyleader.com/,arkansas
Nashville Southwest Arkansas News,https://swarkansasnews.com/,arkansas
Osceola Osceola Times,https://www.osceolatimes.com/,arkansas
Ozark Ozark Spectator,https://www.ozarkspectator.net,arkansas
Paris Paris Express,https://www.swtimes.com/paris-express/,arkansas
Piggott Clay Co Times Democrat,https://www.cctimesdemocrat.com/,arkansas
Pocahontas Pocahontas Star Herald,https://www.starheraldnews.com/,arkansas
Rison Cleveland County Herald,https://www.clevelandcountyherald.com/,arkansas
Salem The News in Salem,https://www.thenewsinsalem.com/,arkansas
Sheridan Sheridan Headlight,https://thesheridanheadlight.com/,arkansas
Star City Lincoln Ledger,http://www.thelincolnledger.com/,arkansas
Van Buren Press Argus-Courier,https://www.swtimes.com/pressargus/,arkansas
Waldron Waldron News,https://www.waldronnews.com/,arkansas
Walnut Ridge Times Dispatch,https://www.jonesborosun.com/times_dispatch/,arkansas
Arkansas TravelerWeekly student newspaper of the University of Arkansas.,https://www.uatrav.com/,arkansas
UALR Forum (University of Arkansas at Little Rock),https://life.ualr.edu/forum/,arkansas
Arkansas Press Association,https://arkansaspress.org/,arkansas
"Auburn Auburn JournalNewspaper published in Auburn, California and owned by Gold Country Media.",https://goldcountrymedia.com/live-content/auburn-journal/,california
Boulevard Redding Record Searchlight (Shasta County),https://www.redding.com/,california
Camarillo Ventura County Star,https://www.vcstar.com/,california
Chico Enterprise-Record (Butte County),https://www.chicoer.com/,california
Costa Mesa Costa Mesa Pilot (Orange County),https://www.latimes.com/socal/daily-pilot/,california
Crescent City Del Norte Triplicate (Del Norte County),https://www.triplicate.com/,california
El Centro Imperial Valley Press,https://www.ivpressonline.com/,california
Eureka North Coast Journal (Humboldt County),https://www.northcoastjournal.com/,california
Eureka Times-Standard (Humboldt County),https://www.times-standard.com/,california
Fairfield Republic (Solano County),https://www.dailyrepublic.com/,california
Glendale News-Press (Los Angeles County),https://www.latimes.com/socal/glendale-news-press/,california
Grass Valley Union (Nevada County),https://www.theunion.com/,california
Hanford Hanford Sentinel (Kings County),https://hanfordsentinel.com/,california
Hollister Free Lance (San Benito County),https://sanbenito.com/,california
Little Armenia AsbarezBilingual newspaper published in Armenian and English.,https://asbarez.com/,california
Lodi Lodi News-Sentinel (San Joaquin County),https://www.lodinews.com/,california
Madera Madera Tribune,https://www.maderatribune.com/,california
Marysville Appeal-Democrat (Yuba County),https://www.appeal-democrat.com/,california
Merced Merced Sun-Star,https://www.mercedsunstar.com/,california
Modesto Modesto Bee (Stanislaus County),https://www.modbee.com/,california
Napa Napa Valley Register,https://napavalleyregister.com/,california
Oroville Oroville Mercury Register,https://www.orovillemr.com/,california
"Palmdale Antelope Valley PressServing families in Lancaster, Palmdale, Quartz Hill, Littlerock, Pearblossom, Lake Los Angeles, Rosamond, Lake Hughes, Elizabeth Lake, Leona Valley, Green Valley, Boron, Edwards, Antelope Acres, California City, Acton, Crystalaire, Mojave and Tehachapi since 1915.",https://www.avpress.com/,california
Pasadena Pasadena Star-News (Los Angeles County),https://www.pasadenastarnews.com/,california
Placerville Mountain Democrat,https://www.mtdemocrat.com/,california
Porterville Recorder (Tulare County),https://www.recorderonline.com/,california
Red Bluff Red Bluff News (Tehama County),https://www.redbluffdailynews.com/,california
Ridgecrest Independent (Kern County),https://www.ridgecrestca.com/,california
Roseville Press Tribune (Placer County),https://goldcountrymedia.com/live-content/the-press-tribune/,california
San Luis Obispo Tribune,https://www.sanluisobispo.com/,california
Santa Ana Orange County Register,https://www.ocregister.com/,california
San Rafael Marin Independent Journal (Marin County),https://www.marinij.com/,california
Santa Clarita Santa Clarita Valley Signal,https://signalscv.com/,california
Scotts Valley Santa Cruz Sentinel,https://www.santacruzsentinel.com/,california
Santa Maria Lompoc Record (Santa Barbara County),https://lompocrecord.com/,california
Santa Maria Santa Maria Times,https://santamariatimes.com/,california
Santa Rosa Press Democrat,https://www.pressdemocrat.com/,california
Sonoma Index-Tribune,https://www.sonomanews.com/,california
Sonora Union Democrat (Tuolumne County),https://www.uniondemocrat.com/,california
South Lake Tahoe Tahoe Tahoe Daily Tribune (El Dorado County),https://www.tahoedailytribune.com/,california
"St., Davis Davis Enterprise (Yolo County)",https://www.davisenterprise.com/,california
Stockton RecordDaily newspaper serving San Joaquin and Calaveras counties.,https://www.recordnet.com/,california
Torrance Breeze (Los Angeles County),https://www.dailybreeze.com/,california
Tracy Tracy Press (San Joaquin County),https://www.ttownmedia.com/tracy_press/,california
Ukiah Ukiah Daily Journal,https://www.ukiahdailyjournal.com/,california
Vacaville Reporter (Solano County),https://www.thereporter.com/,california
Vallejo Times-Herald (Solano County),https://www.timesheraldonline.com/,california
Monrovia West Covina San Gabriel Valley Tribune,https://www.sgvtribune.com/,california
Monrovia Whittier Daily News,https://www.whittierdailynews.com/,california
Woodland Woodland Democrat,https://www.dailydemocrat.com/,california
Yreka Siskiyou Daily News,https://www.siskiyoudaily.com/,california
Agoura Hills Acorn,https://www.theacorn.com/,california
Alameda Vision Hispana,https://www.visionhispanausa.com/,california
Alhambra Boyle Heights Beat,https://boyleheightsbeat.com/,california
Alpine Alpine Sun,https://thealpinesun.com/,california
Alturas Modoc County Record,https://www.modocrecord.com/,california
Arcadia Arcadia Weekly,https://heysocal.com/category/neighborhood/san-gabriel-valley/arcadiaweekly/,california
Arcata Mad River Union,https://www.madriverunion.com/,california
Atascadero Atascadero News,https://atascaderonews.com/,california
Avalon Catalina Islander,https://thecatalinaislander.com/,california
Beverly Hills Beverly Hills Courier,https://beverlyhillscourier.com/,california
Beverly Hills Canyon News,https://www.canyon-news.com/,california
Blythe Palo Verde Valley Times,https://www.pvvt.com/,california
Big Bear Lake Big Bear Grizzly,https://bigbeargrizzly.net/,california
Bishop Inyo Register,https://www.inyoregister.com/,california
Brentwood Brentwood Press,https://www.thepress.net/,california
Camarillo Camarillo Acorn,https://www.thecamarilloacorn.com/,california
Carmel Valley Carmel Valley News,https://www.delmartimes.net/,california
Carpinteria Coastal View News,https://www.coastalview.com/,california
Canyon Lake Friday Flyer,https://fridayflyer.com/,california
Chino Chino Champion,https://www.championnewspapers.com/,california
Claremont Claremont Courier,https://claremont-courier.com/,california
Clovis Clovis Roundup,https://www.clovisroundup.com/,california
Colton Colton Courier,https://iecn.com/,california
Coronado Coronado Eagle,https://www.coronadonewsca.com/,california
Dana Point Dana Point Times,https://www.danapointtimes.com/,california
Downey Downey Patriot,https://www.thedowneypatriot.com/,california
El Cajon East County Californian,https://eccalifornian.com/,california
Elk Grove Elk Grove Citizen,https://www.egcitizen.com/,california
Folsom Folsom Telegraph,https://goldcountrymedia.com/live-content/the-folsom-telegraph/,california
Forestville Sonoma County Gazette,https://www.sonomacountygazette.com/,california
Fort Bragg Advocate-News,https://www.advocate-news.com/,california
Fort Bragg Mendocino Beacon,https://www.mendocinobeacon.com/,california
Fremon Tri City Voice,https://tricityvoice.com/,california
Galt Galt Herald,http://www.galtheraldonline.com/,california
Gardena Gardena Valley News,https://gardenavalleynews.org/,california
Gilroy Gilroy Dispatch,https://gilroydispatch.com/,california
Gustine Gustine Press Standard,https://www.westsideconnect.com/,california
Half Moon Bay Half Moon Bay Review,https://www.hmbreview.com/,california
Hesperia Valleywide Newspapers,https://www.valleywidenewspaper.com/,california
Irvine Orange County Business Journal,https://www.ocbj.com/,california
Kenwood Kenwood Press,https://www.kenwoodpress.com/,california
La Jolla La Jolla Light,https://www.lajollalight.com/,california
La Mesa La Mesa Courier,https://sdnews.com/la-mesa-courier/,california
Lake Arrowhead Mountain News,https://mountain-news.com/,california
Lake Isabella Kern Valley Sun,https://kernvalleysun.com/,california
Laguna Beach Laguna Beach Independent,https://www.lagunabeachindy.com/,california
Lincoln Lincoln News Messenger,https://goldcountrymedia.com/live-content/lincoln-news-messenger/,california
Malibu Malibu Times,https://malibutimes.com/,california
Mammoth Lakes Mammoth Times,https://www.mammothtimes.com/,california
"Menlo Park AlmanacProviding community news for Atherton, Menlo Park, Portola Valley and Woodside, located in southern San Mateo County in California.",https://www.almanacnews.com/,california
Monterey Monterey County Herald,https://www.montereyherald.com/,california
Mount Shasta Mount Shasta Herald,https://www.mtshastanews.com/,california
Napa Napa Valley Register,https://napavalleyregister.com/,california
Oakhurst Sierra Star,https://www.fresnobee.com/sierra-star/,california
Oakland East Bay Express,https://eastbayexpress.com/,california
Ojai Ojai Valley News,https://www.ojaivalleynews.com/,california
Palo Alto Palo Alto Online,https://www.paloaltoonline.com/,california
Palo Alto Silicon Valley News,https://www.siliconvalley.com/,california
Paradise Paradise Post,https://www.paradisepost.com/,california
Paso Robles Paso Robles Daily News,https://pasoroblesdailynews.com/,california
Point Reyes Station Point Reyes Light,https://www.ptreyeslight.com/,california
Quincy Plumas County News,https://www.plumasnews.com/,california
Saint Helena Saint Helena Star,https://napavalleyregister.com/community/star/,california
Santa Ana El Don,https://eldonnews.org/,california
Santa Ana Orange County Weekly,https://www.ocweekly.com/,california
Santa Barbara Pacific Coast Business Times,https://www.pacbiztimes.com/,california
Santa Barbara Santa Barbara Independent,https://www.independent.com/,california
Santa Clara Santa Clara,https://www.thesantaclara.org/,california
Santa Rosa Business Journal,https://www.northbaybusinessjournal.com/,california
San Leandro India WestIndian-American community newspaper in West Coast.,https://indiawest.com/,california
San Mateo San Mateo County News,https://www.mercurynews.com/location/san-mateo-county/,california
Scotts Valley Press-Banner,https://pressbanner.com/,california
Stockton Latino Times,https://www.latinotimes.org/,california
Susanville Lassen County Times,https://www.lassennews.com/,california
Tehachapi Tehachapi News,https://www.tehachapinews.com/,california
"Tiburon ArkAn Independent locally owned newspaper covering Belvedere, Tiburon, Strawberry and East Corte Madera of Tiburon Peninsula.",https://www.thearknewspaper.com/,california
Valley Center Valley Roadrunner,https://www.valleycenter.com/,california
Walnut Creek East Bay Times,https://www.eastbaytimes.com/,california
Watsonville The Pajaronian,https://pajaronian.com/,california
California Newspaper Publishers Association,https://cnpa.com/,california
Aspen Daily NewsPitkin County's daily newspaper owned by Ute City Tea Party Ltd.,https://www.aspendailynews.com/,colorado
Boulder Daily CameraDaily broadsheet newspaper was founded in 1891.,https://www.dailycamera.com/,colorado
Boulder Colorado DailyBoulder County's free daily newspaper owned by MediaNews Group.,https://www.coloradodaily.com/,colorado
Canon City Record (Fremont County),https://www.canoncitydailyrecord.com/,colorado
