Title,Url,State
Westside Journal Callahan,https://mywestsidejournal.com/,florida
Crestview News Bulletin,http://www.crestviewbulletin.com/,florida
Boca Beacon,http://bocabeacon.com/,florida
Bradenton Herald,https://www.bradenton.com/,florida
"Pine Island Eagle, Bokeelia",http://www.pineisland-eagle.com/,florida
Chiefland Citizen,http://www.chieflandcitizen.com/,florida
Citrus County Chronicle,http://www.chronicleonline.com/,florida
Chipley Bugle,https://chipleybugle.com/,florida
Wakulla News Crawfordville,http://www.thewakullanews.com/,florida
FLKeysNews,http://www.flkeysnews.com/,florida
Destin Log,http://www.thedestinlog.com/,florida
Independent FL Alligator,http://www.alligator.org/,florida
Columbia County Observer,http://columbiacountyobserver.com/,florida
Bradford County Telegraph,http://www.bctelegraph.com/,florida
Jackson County Times,http://www.jacksoncountytimes.net/,florida
Jackson County Floridan,http://www.dothaneagle.com/jcfloridan/,florida
Naples Daily News,https://www.naplesnews.com/,florida
Palm Coast Observer,https://www.palmcoastobserver.com/,florida
Ocala Star-Banner,http://www.ocala.com/,florida
Panama City News Herald,http://www.newsherald.com/,florida
Ledger Lakeland,http://www.theledger.com/,florida
Lake City Reporter,http://www.lakecityreporter.com/,florida
Suwannee Democrat,http://www.suwanneedemocrat.com/,florida
Port St Joe Star,http://www.starfl.com/,florida
Pensacola News Journal,https://www.pnj.com/,florida
Walton Sun,http://www.waltonsun.com/,florida
Treasure Coast Newspapers,https://www.tcpalm.com/,florida
Tallahassee Democrat,https://www.tallahassee.com/,florida
Polk County Democrat,http://www.polkcountydemocrat.com/,florida
Williston Pioneer,http://www.willistonpioneer.com/,florida
Florida Press Association,http://www.flpress.com/,florida
Business Observer Sarasota,https://www.businessobserverfl.com/,florida
Captiva Current Sanibel,http://www.captivacurrent.com/,florida
Sarasota Herald-Tribune,http://www.heraldtribune.com/,florida
FSView & Florida Flambeau,https://www.fsunews.com/,florida
Americus Times-Recorder,https://www.americustimesrecorder.com/,georgia
Albany Herald,http://www.albanyherald.com/,georgia
Rockdale Citizen,http://www.rockdalenewtoncitizen.com/,georgia
Columbus Ledger-Enquirer,https://www.ledger-enquirer.com/,georgia
Cordele Dispatch,https://www.cordeledispatch.com/,georgia
Dublin Courier Herald,http://www.courier-herald.com/,georgia
Athens Banner-Herald,http://www.onlineathens.com/,georgia
Brunswick News,https://thebrunswicknews.com/,georgia
Augusta Chronicle,http://www.augustachronicle.com/,georgia
Cartersville Daily Tribune,http://www.daily-tribune.com/,georgia
Dalton Daily Citizen-News,http://www.daltondailycitizen.com/,georgia
Gainesville Times,https://www.gainesvilletimes.com/,georgia
Clayton News Daily,http://www.news-daily.com/,georgia
Griffin Daily News,http://www.griffindailynews.com/,georgia
Savannah Morning News,http://www.savannahnow.com/business/,georgia
Rome News-Tribune,http://www.northwestgeorgianews.com/rome/,georgia
Statesboro Herald,http://www.statesboroherald.com/,georgia
Tifton Gazette,http://www.tiftongazette.com/,georgia
Thomasville Times-Enterprise,http://www.timesenterprise.com/,georgia
Waycross Journal-Herald,http://wjhnews.com/,georgia
Henry Herald,http://www.henryherald.com/,georgia
Gwinnett Daily Post,http://www.gwinnettdailypost.com/,georgia
LaGrange News,http://www.lagrangenews.com/,georgia
Macon Telegraph,http://www.macon.com/,georgia
Moultrie Observer,http://www.moultrieobserver.com/,georgia
Marietta Journal,http://www.mdjonline.com/,georgia
Newnan Times-Herald,http://times-herald.com/,georgia
Valdosta Times,http://www.valdostadailytimes.com/,georgia
Hawaii Tribune-Herald,https://hawaiitribune-herald.com/,hawaii
Honolulu Star-Advertiser,http://www.staradvertiser.com/,hawaii
West Hawaii Today,http://westhawaiitoday.com/,hawaii
Garden Island,http://www.thegardenisland.com/,hawaii
Maui News,http://www.mauinews.com/,hawaii
Idaho Statesman,https://www.idahostatesman.com/,idaho
Idaho Press-Tribune,https://www.idahopress.com/,idaho
Magic Valley,https://magicvalley.com/,idaho
Coeur d'Alene Press,http://www.cdapress.com/,idaho
Lewiston Morning Tribune,http://lmtribune.com/,idaho
Idaho Falls Post Register,https://www.postregister.com/,idaho
News of the Palouse,http://dnews.com/,idaho
Bonner County Bee,http://www.bonnercountydailybee.com/,idaho
Argus Observer Ontario,https://www.argusobserver.com/,idaho
Idaho State Journal Pocatello,https://www.idahostatejournal.com/,idaho
Shoshone News Press,http://www.shoshonenewspress.com/,idaho
Belleville News-Democrat,https://www.bnd.com/,illinois
Alton Telegraph,https://www.thetelegraph.com/,illinois
Benton Evening News,http://www.bentoneveningnews.com/,illinois
Southern Illinoisan,http://thesouthern.com/,illinois
Effingham Daily News,http://www.effinghamdailynews.com/,illinois
Kane County Chronicle,http://www.kcchronicle.com/,illinois
Kankakee Daily Journal,http://www.daily-journal.com/,illinois
Harrisburg Daily Register,http://www.dailyregister.com/,illinois
Morris Herald News,http://www.morrisherald-news.com/,illinois
Pontiac Daily Leader,http://www.pontiacdailyleader.com/,illinois
Pekin Daily Times,http://www.pekintimes.com/,illinois
Pantagraph Bloomington,https://www.pantagraph.com/,illinois
Carmi Times,http://www.carmitimes.com/,illinois
JG TC Mattoon and Charleston,http://jg-tc.com/,illinois
News-Gazette IL,http://www.news-gazette.com/,illinois
Clinton Daily Journal,http://www.clintondailyjournal.com/,illinois
Herald & Review Decatur,https://herald-review.com/,illinois
Northwest Herald,http://www.nwherald.com/,illinois
Dekalb Health Chronicle,http://www.dekalb-chronicle.com/,illinois
Du Quoin Evening Call,http://www.duquoin.com/,illinois
Dixon Telegraph,http://www.saukvalley.com/,illinois
Edwardsville Intelligencer,https://www.theintelligencer.com/,illinois
Freeport Journal-Standard,http://www.journalstandard.com/,illinois
Marion Daily Republican,http://www.dailyrepublicannews.com/,illinois
Ottawa Daily Times,http://ottawadailytimes.com/,illinois
Olney Daily Mail,http://www.olneydailymail.com/,illinois
Kewanee Star-Courier,http://www.starcourier.com/,illinois
Lincoln Daily News,http://www.lincolndailynews.com/,illinois
Lincoln Courier,http://www.lincolncourier.com/,illinois
McDonough County Voice,http://www.mcdonoughvoice.com/,illinois
Monmouth Review Atlas,http://www.reviewatlas.com/,illinois
Marion Daily Republican,http://www.dailyrepublicannews.com/,illinois
Peoria Journal Star,http://www.pjstar.com/,illinois
Robinson Daily News,http://www.robdailynews.com/,illinois
Quincy Herald-Whig,http://www.whig.com/,illinois
Shelbyville Daily Union,http://www.shelbyvilledailyunion.com/,illinois
Rockford Register Star,http://www.rrstar.com/,illinois
Bedford Times-Mail,https://www.tmnews.com/,indiana
Bloomington Herald-Times,https://www.heraldtimesonline.com/,indiana
Evansville Courier and Press,https://www.courierpress.com/,indiana
Herald Bulletin Anderson,http://www.heraldbulletin.com/,indiana
Bluffton News Banner,https://news-banner.com/,indiana
The Republic Columbus,http://www.therepublic.com/,indiana
Chesterton Tribune,http://chestertontribune.com/,indiana
Crawfordsville Journal Review,http://www.journalreview.com/,indiana
Elkhart Ttruth,http://www.elkharttruth.com/,indiana
Fort Wayne News-Sentinel,http://www.news-sentinel.com/,indiana
Greencastle Banner-Graphic,http://www.bannergraphic.com/,indiana
Indianapolis Star,https://www.indystar.com/,indiana
Greensburg Daily News,http://www.greensburgdailynews.com/,indiana
Kendallville News-Sun,http://www.kpcnews.com/,indiana
Decatur Democrat,http://www.decaturdailydemocrat.com/,indiana
Goshen News,http://www.goshennews.com/,indiana
Plymouth Pilot News,http://www.thepilotnews.com/,indiana
New Castle Courier-Times,http://www.thecouriertimes.com/,indiana
Richmond Palladium-Item,https://www.pal-item.com/,indiana
Greene County Daily World,http://www.gcdailyworld.com/,indiana
Lafayette Journal & Courier,https://www.jconline.com/,indiana
Times of Northwest Indiana,http://www.nwitimes.com/,indiana
Logansport Pharos-Tribune,http://www.pharostribune.com/,indiana
LaPorte Herald-Argus,http://www.heraldargus.com/,indiana
Marion Chronicle-Tribune,http://www.chronicle-tribune.com/,indiana
Shelbyville News,http://www.shelbynews.com/,indiana
Rochester Sentinel,http://www.rochsent.com/,indiana
South Bend Tribune,http://www.southbendtribune.com/,indiana
Michigan City News Dispatch,http://www.thenewsdispatch.com/,indiana
Martinsville Reporter Times,https://www.reporter-times.com/,indiana
Muncie Star Press,https://www.thestarpress.com/,indiana
Vincennes Sun-Commercial,http://www.suncommercial.com/,indiana
Terre Haute Tribune-Star,http://www.tribstar.com/,indiana
Washington Times-Herald,http://www.washtimesherald.com/,indiana
Warsaw Times-Union,http://www.timesuniononline.com/,indiana
Ames Tribune,http://www.amestrib.com/,iowa
Boone News-Republican,http://www.newsrepublican.com/,iowa
Cedar Rapids Gazette,https://www.thegazette.com/,iowa
Hawk Eye Burlington,http://www.thehawkeye.com/,iowa
Clinton Herald,http://www.clintonherald.com/,iowa
Creston News Advertiser,https://www.crestonnews.com/,iowa
Council Bluffs Nonpareil,http://www.nonpareilonline.com/,iowa
Quad-City Times,https://qctimes.com/,iowa
Telegraph Herald Dubuque,http://www.telegraphherald.com/,iowa
Southwest Iowa,http://www.swiowanewssource.com/,iowa
Carroll Times Herald,http://www.carrollspaper.com/,iowa
Centerville Iowegian,http://www.dailyiowegian.com/,iowa
Chronicle Times Cherokee,https://www.chronicletimes.com/,iowa
Charles City Press,http://www.charlescitypress.com/,iowa
Des Moines Register,https://www.desmoinesregister.com/,iowa
Estherville Daily News,http://www.esthervilledailynews.com/,iowa
Fort Dodge Messenger,http://www.messengernews.net/,iowa
Fairfield Ledger,https://www.ffledger.com/,iowa
Iowa City Press-Citizen,https://www.press-citizen.com/,iowa
Muscatine Journal,https://muscatinejournal.com/,iowa
Mount Pleasant News,https://www.mpnews.net/,iowa
Newton Daily News,http://www.newtondailynews.com/,iowa
Times Republican Marshalltown,http://www.timesrepublican.com/,iowa
Le Mars Sentinel,https://www.lemarssentinel.com/,iowa
Mason City Globe-Gazette,https://globegazette.com/,iowa
Ottumwa Courier,http://www.ottumwacourier.com/,iowa
Oskaloosa Herald,http://www.oskaloosa.com/,iowa
Sioux City Journal,https://siouxcityjournal.com/,iowa
Waterloo/Cedar Falls Courier,https://wcfcourier.com/,iowa
Freeman Journal Webster City,http://www.freemanjournal.net/,iowa
Spencer Daily Reporter,https://www.spencerdailyreporter.com/,iowa
Great Bend Tribune,https://www.gbtribune.com/,kansas
Iola Register,https://www.iolaregister.com/,kansas
Abilene Reflector-Chronicle,http://www.abilene-rc.com/,kansas
Chanute Tribune,http://www.chanute.com/,kansas
Emporia Gazette,http://www.emporiagazette.com/,kansas
Hays Daily News,http://www.hdnews.net/,kansas
Junction City Union News,http://www.jcdailyunion.com/,kansas
Butler County Times Gazette,http://www.butlercountytimesgazette.com/,kansas
Dodge City Daily Globe,http://www.dodgeglobe.com/,kansas
Garden City Telegram,http://www.gctelegram.com/,kansas
Hutchinson News,http://www.hutchnews.com/,kansas
Lawrence Journal-World,http://www.ljworld.com/,kansas
Manhattan Mercury,http://themercury.com/,kansas
Leavenworth Times,http://www.leavenworthtimes.com/,kansas
McPherson Sentinel,http://www.mcphersonsentinel.com/,kansas
Ottawa Herald,http://www.ottawaherald.com/,kansas
Kansan Newton,http://www.thekansan.com/,kansas
Salina Journal,http://www.salina.com/,kansas
Wellington Daily News,http://www.wellingtondailynews.com/,kansas
Topeka Capital-Journal,https://www.cjonline.com/,kansas
Winfield CourierTraveler,http://www.ctnewsonline.com/,kansas
Parsons Sun,http://www.parsonssun.com/,kansas
Pratt Tribune,http://www.pratttribune.com/,kansas
Pittsburg Morning Sun,http://www.morningsun.net/,kansas
Independent Ashland,https://www.dailyindependent.com/,kentucky
Harlan Daily Enterprise,https://www.harlanenterprise.net/,kentucky
Corbin Times-Tribune,http://www.thetimestribune.com/,kentucky
Bowling Green Daily News,http://www.bgdailynews.com/,kentucky
Advocate-Messenger Danville,https://www.amnews.com/,kentucky
River City News Rcnky,http://www.rcnky.com/,kentucky
Elizabethtown News-Enterprise,http://www.thenewsenterprise.com/,kentucky
Glasgow Daily Times,http://www.glasgowdailytimes.com/,kentucky
Frankfort State Journal,https://www.state-journal.com/,kentucky
Middlesboro Daily News,https://www.middlesborodailynews.com/,kentucky
Louisville Courier-Journal,https://www.courier-journal.com/,kentucky
Madisonville Messenger,http://www.the-messenger.com/,kentucky
Hopkinsville Kentucky New Era,http://www.kentuckynewera.com/,kentucky
Gleaner Henderson,https://www.thegleaner.com/,kentucky
Lexington Herald-Leader,https://www.kentucky.com/,kentucky
Murray Ledger and Times,http://murrayledger.com/,kentucky
Maysville Ledger-Independent,https://maysville-online.com/,kentucky
Owensboro Messenger-Inquirer,http://www.messenger-inquirer.com/,kentucky
West Kentucky Star,http://westkentuckystar.com/,kentucky
Paducah Sun,http://www.paducahsun.com/,kentucky
Somerset Commonwealth Journal,http://www.somerset-kentucky.com/,kentucky
Richmond Register,http://www.richmondregister.com/,kentucky
The Town Talk Alexandria,https://www.thetowntalk.com/,louisiana
The Advocate Baton Rouge,https://www.theadvocate.com/,louisiana
Franklin Banner-Tribune,https://www.stmarynow.com/,louisiana
Houma Courier,http://www.houmatoday.com/,louisiana
Hammond Star,http://www.hammondstar.com/,louisiana
Lafayette Advertiser,https://www.theadvertiser.com/,louisiana
Daily Iberian New Iberia,https://www.iberianet.com/,louisiana
Natchitoches Times,https://www.natchitochestimes.com/,louisiana
New Orleans Times-Picayune,https://www.nola.com/,louisiana
Minden Press-Herald,http://press-herald.com/,louisiana
American Press Lake Charles,http://www.americanpress.com/,louisiana
Monroe News-Star,https://www.thenewsstar.com/news/,louisiana
Shreveport Times,https://www.shreveporttimes.com/,louisiana
Opelousas Daily World,https://www.dailyworld.com/,louisiana
Daily Comet Thibodaux,http://www.dailycomet.com/,louisiana
Southwest Daily News,http://www.sulphurdailynews.com/,louisiana
Central Maine,https://www.centralmaine.com/,maine
Journal Tribune Biddeford,https://www.journaltribune.com/,maine
Bangor Daily News,https://bangordailynews.com/,maine
Lewiston Sun-Journal,http://www.sunjournal.com/,maine
Portland Press Herald,https://www.pressherald.com/,maine
Brunswick Times Record,https://www.timesrecord.com/,maine
Star Democrat Easton,https://www.stardem.com/,maryland
Annapolis Gazette,http://www.capitalgazette.com/,maryland
Daily Record Baltimore,https://thedailyrecord.com/,maryland
Baltimore Sun,http://www.baltimoresun.com/,maryland
Cumberland Times-News,http://www.times-news.com/,maryland
Herald Mail Hagerstown,http://www.heraldmailmedia.com/,maryland
Frederick News-Post,http://www.fredericknewspost.com/,maryland
Carroll County Times,http://www.carrollcountytimes.com/,maryland
Salisbury Daily Times,https://www.delmarvanow.com/,maryland
Athol Daily News,http://www.atholdailynews.com/,massachusetts
Cape Cod Times,http://capecodonline.com/,massachusetts
Attleboro Sun Chronicle,http://www.thesunchronicle.com/,massachusetts
Herald News Fall River,http://www.heraldnews.com/,massachusetts
Brockton Enterprise,http://www.enterprisenews.com/,massachusetts
Gardner News,http://thegardnernews.com/,massachusetts
MetroWest Daily News,http://www.metrowestdailynews.com/,massachusetts
Gloucester Times,http://www.gloucestertimes.com/,massachusetts
Patriot Ledger Quincy,http://www.patriotledger.com/,massachusetts
Taunton Daily Gazette,http://www.tauntongazette.com/,massachusetts
Fitchburg Sentinel & Enterprise,http://www.sentinelandenterprise.com/,massachusetts
Salem News Beverly,http://www.salemnews.com/,massachusetts
Wrentham Times,http://www.wrenthamtimes.com/,massachusetts
Worcester Telegram,http://www.telegram.com/,massachusetts
Lowell Sun,http://www.lowellsun.com/,massachusetts
Greenfield Recorder,http://www.recorder.com/,massachusetts
Lynn Daily Item,https://www.itemlive.com/,massachusetts
Standard-Times New Bedford,http://www.southcoasttoday.com/,massachusetts
Milford Daily News,http://www.milforddailynews.com/,massachusetts
Newburyport Daily News,http://www.newburyportnews.com/,massachusetts
Hampshire Gazette,http://www.gazettenet.com/,massachusetts
North Andover Eagle-Tribune,http://www.eagletribune.com/,massachusetts
Berkshire Eagle,http://www.berkshireeagle.com/,massachusetts
Southbridge Evening News,http://www.southbridgeeveningnews.com/,massachusetts
Daily Telegram Adrian,https://www.lenconnect.com/,michigan
Bay City Times,http://www.mlive.com/bay-city/,michigan
Ann Arbor News,http://www.mlive.com/ann-arbor/,michigan
Alpena News,http://www.thealpenanews.com/,michigan
Big Rapids Pioneer,http://bigrapidsnews.com/,michigan
Flint Journal,http://www.mlive.com/flint/,michigan
Escanaba Daily Press,http://www.dailypress.net/,michigan
Cheboygan Tribune,http://www.cheboygannews.com/,michigan
Cadillac News,https://www.cadillacnews.com/,michigan
Coldwater Reporter,http://www.thedailyreporter.com/,michigan
Gaylord Herald Times,https://www.petoskeynews.com/gaylord/,michigan
Grand Rapids Press,http://www.mlive.com/grand-rapids/,michigan
Grand Haven Tribune,http://www.grandhaventribune.com/,michigan
Greenville Daily News,https://thedailynews.cc/,michigan
Sentinel-Standard Ionia,http://www.sentinel-standard.com/,michigan
Houghton Mining Gazette,http://www.mininggazette.com/,michigan
Iron Mountain Daily News,http://www.ironmountaindailynews.com/,michigan
Muskegon Chronicle,http://www.mlive.com/muskegon/,michigan
Mount Clemens Macomb Daily,http://www.macombdaily.com/,michigan
Petoskey News-Review,https://www.petoskeynews.com/,michigan
Kalamazoo Gazette,http://www.mlive.com/kalamazoo/,michigan
Jackson Citizen Patriot,http://www.mlive.com/jackson/,michigan
Lansing State Journal,https://www.lansingstatejournal.com/,michigan
Royal Oak Tribune,http://www.dailytribune.com/,michigan
Oakland Press,http://www.theoaklandpress.com/,michigan
Saginaw News,http://www.mlive.com/saginaw/,michigan
Traverse City Record-Eagle,http://www.record-eagle.com/,michigan
Midland Daily News,https://www.ourmidland.com/,michigan
Marquette Mining Journal,http://www.miningjournal.net/,michigan
Monroe News,http://www.monroenews.com/,michigan
Sault Sainte Marie Evening News,http://www.sooeveningnews.com/,michigan
St. Joseph Herald-Palladium,http://www.heraldpalladium.com/,michigan
Sturgis Journal,http://www.sturgisjournal.com/,michigan
Star Tribune Minnesota,http://www.startribune.com/,minnesota
Austin Daily Herald,https://www.austindailyherald.com/,minnesota
Brainerd Dispatch,http://www.brainerddispatch.com/,minnesota
Albert Lea Tribune,https://www.albertleatribune.com/,minnesota
Bemidji Pioneer,http://www.bemidjipioneer.com/,minnesota
Crookston Times,http://www.crookstontimes.com/,minnesota
Wahpeton Daily News,http://www.wahpetondailynews.com/,minnesota
Detroit Lakes Tribune,http://www.dl-online.com/,minnesota
Hibbing Tribune,http://www.hibbingmn.com/,minnesota
Duluth News-Tribune,http://www.duluthnews.com/,minnesota
Mankato Free Press,http://www.mankatofreepress.com/,minnesota
Minnesota Daily,http://www.mndaily.com/,minnesota
Finance & Commerce,https://finance-commerce.com/,minnesota
Minneapolis Spokesman,http://spokesman-recorder.com/,minnesota
Virginia Mesabi Daily News,http://www.virginiamn.com/,minnesota
St. Cloud Times,https://www.sctimes.com/,minnesota
West Central Tribune Willmar,http://www.wctrib.com/,minnesota
New Ulm Journal,http://www.nujournal.com/,minnesota
St. Paul Pioneer Press,https://www.twincities.com/,minnesota
Rochester Post-Bulletin,http://www.postbulletin.com/,minnesota
Worthington Daily Globe,http://www.dglobe.com/,minnesota
Winona Daily News,http://www.winonadailynews.com/,minnesota
Sun Herald,https://www.sunherald.com/,mississippi
Vicksburg Post,https://www.vicksburgpost.com/,mississippi
Bolivar Commercial,https://bolivarcommercial.com/,mississippi
Brookhaven Daily Leader,https://www.dailyleader.com/,mississippi
Corinthian,http://www.dailycorinthian.com/,mississippi
Commercial Dispatch Columbus,http://www.cdispatch.com/,mississippi
Delta Democrat Times,http://www.ddtonline.com/,mississippi
Hattiesburg American,https://www.hattiesburgamerican.com/,mississippi
Greenwood Commonwealth,http://www.gwcommonwealth.com/,mississippi
Clarion-Ledger,https://www.clarionledger.com/,mississippi
Meridian Star,http://www.meridianstar.com/,mississippi
Enterprise-Journal,http://www.enterprise-journal.com/,mississippi
Natchez Democrat,https://www.natchezdemocrat.com/,mississippi
Picayune Item,http://www.picayuneitem.com/,mississippi
Oxford Eagle,https://www.oxfordeagle.com/,mississippi
Starkville Daily News,http://www.starkvilledailynews.com/,mississippi
West Point Times Leader,https://www.dailytimesleader.com/,mississippi
NE Mississippi Daily Journal,http://www.djournal.com/,mississippi
Branson Tri-Lakes News,http://bransontrilakesnews.com/,missouri
Boonville Daily News,http://www.boonvilledailynews.com/,missouri
Laclede Record,http://www.laclederecord.com/,missouri
Kirksville Express,http://www.kirksvilledailyexpress.com/,missouri
Southeast Missourian,http://www.semissourian.com/,missouri
Columbia Tribune,http://www.columbiatribune.com/,missouri
Hannibal Courier-Post,http://www.hannibal.net/,missouri
Chillicothe Constitution-Tribune,https://www.chillicothenews.com/,missouri
Dunklin Democrat,http://www.dddnews.com/,missouri
Joplin Globe,http://www.joplinglobe.com/,missouri
Independence Examiner,http://www.examiner.net/,missouri
Kansas City Star,https://www.kansascity.com/,missouri
Jefferson City News-Tribune,http://www.newstribune.com/,missouri
Marshall Democrat-News,https://www.marshallnews.com/,missouri
Mexico Ledger,http://www.mexicoledger.com/,missouri
Moberly Monitor,http://www.moberlymonitor.com/,missouri
Maryville Daily Forum,http://www.maryvilledailyforum.com/,missouri
Monett Times,https://www.monett-times.com/,missouri
Nevada Daily Mail,https://www.nevadadailymail.com/,missouri
Springfield News-Leader,https://www.news-leader.com/,missouri
St. Louis Post-Dispatch,http://www.stltoday.com/,missouri
St. Joseph News-Press,http://www.newspressnow.com/,missouri
Neosho Daily News,http://www.neoshodailynews.com/,missouri
Park Hills Daily Journal,https://dailyjournalonline.com/,missouri
Rolla Daily News,http://www.therolladailynews.com/,missouri
Daily American Republic,http://www.darnews.com/,missouri
Billings Gazette,https://billingsgazette.com/,montana
Montana Standard,https://mtstandard.com/,montana
Havre Daily News,http://www.havredailynews.com/,montana
Ravalli Republic,https://ravallirepublic.com/,montana
Helena Independent Record,https://helenair.com/,montana
Bozeman Daily Chronicle,https://www.bozemandailychronicle.com/,montana
Great Falls Tribune,https://www.greatfallstribune.com/,montana
Livingston Enterprise,https://www.livingstonenterprise.com/,montana
Missoulian,https://missoulian.com/,montana
Inter Lake Kalispell,http://www.dailyinterlake.com/,montana
Miles City Star,https://www.milescitystar.com/,montana
Alliance Times-Herald,http://www.alliancetimes.com/,nebraska
Columbus Telegram,https://columbustelegram.com/,nebraska
